,,,,,,,,,,
Reference,,,,,,,,,,
,,,,,,,,,,
Section 1: Accommodation type,Section 2: Main reason for travel,,,,,,,,,
Hotels and similar accommodation,Holiday,,,,,,,,,
Standard hotel/motor inn (below 4 star),Holiday,,,,,,,,,
Luxury hotel or luxury resort (4 or 5 star),Working holiday,,,,,,,,,
Hotel/resort/motel or motor Inn - not further defined,On honeymoon,,,,,,,,,
Serviced apartment,Participate in or watch organised sport,,,,,,,,,
Serviced apartment via websites like airBnB,"To experience Australias food, wines and wineries",,,,,,,,,
Guest house or Bed & Breakfast,Experience aboriginal culture,,,,,,,,,
Guest house or Bed & Breakfast,Accompanying convention/conference/seminar/trade fair/exhibition,,,,,,,,,
Guest house or Bed & Breakfast via websites like airBnB,Accompanying business visitor,,,,,,,,,
Rented house/apartment/flat or unit,Incentive reward provided by business employer,,,,,,,,,
Rented house/apartment/flat or unit (bot serviced daily),To attend a specific leisure event or festival,,,,,,,,,
Rented house/apartment/flat or unit vis websites like airBnB,To join or leave a multi-day cruise,,,,,,,,,
Rented accommodation on farm,Visiting friends and relatives,,,,,,,,,
Caravan park or commercial camping ground,Visiting relatives,,,,,,,,,
Caravan park - travelling with and staying in a caravan,Visiting friends,,,,,,,,,
Caravan park - caravan but not travelling with caravan,Visiting an international student relative or friend studying in Australia,,,,,,,,,
Caravan park - camping,Visiting friends and relatives - not further defined,,,,,,,,,
Caravan park - cabin,Business,,,,,,,,,
Caravan park - travelling with a motor home or campervan ,Business,,,,,,,,,
Caravan park or commercial camping ground - not further defined,Convention/conference/seminar/trade fair/exhibition,,,,,,,,,
Backpacker or hostel,Education,,,,,,,,,
Backpacker or hostel,Other reason,,,,,,,,,
Backpacker or hostel via websites like airBnB,Employment,,,,,,,,,
Other Commercial Accommodation,Medical reasons,,,,,,,,,
Commerical boat/houseboat/cabin cruiser or cruise ship,To explore possibility of immigration,,,,,,,,,
Glamping (Safari tent/luxury tent/tree house/yurt),To renew visa,,,,,,,,,
Other Commercial Accommodation,Attend Funeral,,,,,,,,,
Own property,Explore/buy/check on investment opportunities/properties,,,,,,,,,
Own property (e.g. holiday house),To explore future tertiary education enrolment,,,,,,,,,
Friends or relatives property,To enrol in tertiary education,,,,,,,,,
Caravan or camping - non-commercial,Other reasons not further defined,,,,,,,,,
Caravan - side of the road/private property,No other reason,,,,,,,,,
Camping - side of the road/private property,In transit,,,,,,,,,
Camping - national park/crown land,,,,,,,,,,
Motor home or campervan - side of the road/private property,,,,,,,,,,
Caravan or camping - non-commercial - not further defined,,,,,,,,,,
Other private accommodation,,,,,,,,,,
Homestay,,,,,,,,,,
Homestay via websites like airBnB,,,,,,,,,,
Privately owned by boat or yacht,,,,,,,,,,
Other non-commercial property,,,,,,,,,,
Private accommodation (not a friend or relative) - eg Airbnb,,,,,,,,,,
Other accommodation,,,,,,,,,,
Education institution (University/school dormitory or college),,,,,,,,,,
Hospital or hospital related accommodation,,,,,,,,,,
Boat/houseboat or cabin cruiser not further defined,,,,,,,,,,
Slept in bus/coach/train or plane,,,,,,,,,,
Other via websites like airBnB,,,,,,,,,,
Other - not further defined,,,,,,,,,,
Not stated/unknown,,,,,,,,,,
In transit,,,,,,,,,,
In transit,,,,,,,,,,
Transited Australia,,,,,,,,,,
Not asked,,,,,,,,,,
,,,,,,,,,,
Back to content page,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
