,,,,,,,,,,,,,,,,
International travel estimates by country of residence(a),,,,,,,,,,,,,,,,
Year ending December,,,,,,,,,,,,,,,,
,Trips ('000),,Change,,Nights ('000),,Change,,Spend in Australia ($M),,Change,,Total trip spend ($M),,Change,
,Year ending December 2024,Year ending December 2025,'000,%,Year ending December 2024,Year ending December 2025,'000,%,Year ending December 2024,Year ending December 2025,$M,%,Year ending December 2024,Year ending December 2025,$M,%
New Zealand,1259.5100919277131,1302.841751995723,43.331660068009796,3.4403583064340104,14804.307435384613,15401.636305546535,597.3288701619222,4.034831570264563,2063.757523958183,2410.113258788749,346.35573483056623,16.782772724494954,3298.7624473184587,3667.0786576514965,368.3162103330378,11.165284442729106
Japan,361.80184435188255,385.17540800317,23.37356365128744,6.460321862968366,12931.018300055803,14561.724953515391,1630.7066534595888,12.610813902046303,1434.9392999709523,1616.684189126238,181.7448891552856,12.665684824366075,2098.0583443279543,2327.0197563477154,228.96141201976116,10.913014532639309
Hong Kong,198.7688200734954,228.1647630015788,29.3959429280834,14.789011132236007,5248.663305698822,6735.943192623738,1487.2798869249154,28.336355378522327,873.4053231030808,1127.7919442425193,254.3866211394385,29.12583818880794,1225.8835781062714,1515.0817925726076,289.19821446633614,23.591001595199245
Singapore,360.6738858566219,385.63570700056664,24.961821143944746,6.920883968258185,5445.530899499758,5949.232662498829,503.70176299907143,9.249819205788423,1088.3600601844128,1122.3040140694852,33.94395388507246,3.118816568785232,1581.5874323939383,1647.6988929859883,66.11146059204998,4.180069924555596
Malaysia,183.66366357694625,193.58234399893598,9.918680421989734,5.400458767302263,5292.225282442626,5274.463572128916,-17.761710313709955,-0.3356189384574382,685.1173470472796,704.852158151124,19.734811103844322,2.8805008643989938,897.5999922482509,932.8706106318162,35.270618383565306,3.929436128360675
Indonesia,201.8309599727459,217.90515900006406,16.074199027318173,7.964188957674656,10339.702184587319,9531.275495795626,-808.4266887916929,-7.818665125546442,998.0481155594972,976.2006450846666,-21.84747047483063,-2.1890197610947015,1239.8719224707388,1215.447895608653,-24.42402686208584,-1.969883051582877
Taiwan,149.30789137576707,174.94636500117616,25.63847362540909,17.171546251955338,9850.364920545266,9514.763047016038,-335.6018735292273,-3.4069993978522617,902.9449202286337,977.7986594239144,74.8537391952807,8.289956288399857,1200.1170040276256,1291.4220758641943,91.30507183656869,7.608014179463041
Thailand,89.71410898996805,91.23700000064716,1.5228910106791034,1.6974933238754986,5148.92392986644,6063.644933453091,914.721003586651,17.765284864295495,456.7835875800585,459.8812132213884,3.0976256413298984,0.6781385596055456,582.7396542449817,580.0197338198828,-2.7199204250988487,-0.4667470980026067
Vietnam,160.461859478437,153.87065700211184,-6.591202476325151,-4.107644332272542,6524.665832204251,7961.106679584934,1436.4408473806825,22.015546609157212,833.1509369280651,906.3878923674796,73.23695543941449,8.790358648511942,1075.1099896317783,1130.3139705949723,55.203980963194,5.134728678514211
