,,,,,,,,,,,,,,,,
International travel estimates by main reason for travel(a)(b),,,,,,,,,,,,,,,,
December Quarter,,,,,,,,,,,,,,,,
,Trips ('000),,Change,,Nights ('000),,Change,,Spend in Australia ($M),,Change,,Total trip spend ($M),,Change,
,December Quarter 2024,December Quarter 2025,'000,%,December Quarter 2024,December Quarter 2025,'000,%,December Quarter 2024,December Quarter 2025,$M,%,December Quarter 2024,December Quarter 2025,$M,%
Holiday,905.5651799412409,1078.847914121026,173.28273417978505,19.13531328479623,22875.32970718927,25172.58743004434,2297.257722855069,10.042511964901157,2925.760263495281,3817.0765022966075,891.3162388013266,30.46443175547504,5000.48836769346,6054.347211926683,1053.858844233223,21.075118403271652
Visiting friends and relatives,826.0687261963822,889.2288010111768,63.1600748147946,7.645861998143166,26404.029501301327,25695.135152774674,-708.8943485266536,-2.684796078158125,1506.8134404610425,1652.5950227460735,145.78158228503094,9.674826250582536,2936.64172880971,3246.8793160543214,310.2375872446114,10.564366235112988
Business,200.00320410119582,209.93795135646602,9.934747255270196,4.96729404907108,2026.6545341415988,2218.338150264897,191.6836161232984,9.45812978453613,491.59661069139867,535.8125481146931,44.215937423294406,8.994353594323524,955.9738109904899,1013.4077168520225,57.433905861532594,6.007895321109791
Employment,74.07582327210861,88.48538997454624,14.40956670243763,19.45245569462768,12471.975051817084,12205.365613315264,-266.6094385018205,-2.13766815114802,898.5445468949517,1055.5131649516788,156.9686180567271,17.469208243392554,1092.9786669723985,1292.4113019064464,199.43263493404788,18.24670882977848
Education,77.5126961591785,89.86467056558723,12.35197440640873,15.935420929034594,11903.02474514179,13196.66595158198,1293.6412064401884,10.868172033064006,1908.0080069159553,2613.5154777088605,705.5074707929052,36.97612736611444,2092.4104360759147,2818.298491580562,725.8880555046471,34.69147558191166
Other Reason,56.49848696900871,68.37688995539857,11.878402986389858,21.02428511564487,335.60809212362045,1436.791900271465,1101.1838081478445,328.1159882587771,35.248536297755024,162.2177052709534,126.96916897319836,360.2111812548796,148.39097917506675,286.4710543406016,138.08007516553485,93.05152909775774
Total,2139.724116639115,2424.741616984201,285.01750034508586,13.320292000669953,76016.62163171469,79924.88419825262,3908.262566537931,5.141326308175964,7765.971404756385,9836.730421088867,2070.759016332482,26.6645202307108,12226.883989717036,14711.815092660636,2484.9311029435994,20.323502742264154
,,,,,,,,,,,,,,,,
(a)Estimates are for international visitors aged 15 years and over,,,,,,,,,,,,,,,,
"(b)For a list of reasons included in each group, refer to Section 2 of the Reference tab",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Source: Tourism Research Australia: International Visitors Survey,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Back to content page,,,,,,,,,,,,,,,,
