,,,,,,,,,,
"Table 10b. Total domestic trips, visitor nights and regional expenditure by inter/intrastatea,",,,,,,,,,,
"by quarter, from March Quarter 2025",,,,,,,,,,
,March Quarter 2025,June Quarter 2025,September Quarter 2025,December quarter 2025,,,,,,
Total domestic trips('000)c,,,,,,,,,,
Interstate,10354.306,10603.767,11140.755,11608.635,,,,,,
Intrastate,83789.528,86053.555,88134.235,88671.018,,,,,,
Totalb,94143.834,96657.323,99274.99,100279.653,,,,,,
Visitor nights('000),,,,,,,,,,
Interstate,35157.803,29734.684,30977.466,31933.325,,,,,,
Intrastate,69968.221,60763.475,58402.635,64244.163,,,,,,
Totalb,105126.024,90498.16,89380.101,96177.487,,,,,,
Regional expenditure($M)d,,,,,,,,,,
Interstate,14903.529,13005.517,13575.59,14138.891,,,,,,
Intrastate,23974.758,23368.864,24339.439,25854.233,,,,,,
Totalb,38878.287,36374.381,37915.03,39993.124,,,,,,
,,,,,,,,,,
a. All figures relate to Australian residents aged 14 years and over.,,,,,,,,,,
b. Totals may not add due to rounding.,,,,,,,,,,
c. At the national level a trip is allocated as interstate if the trip includes visits to both interstate and intrastate locations,,,,,,,,,,
"d. At the national level trip expenditure is allocated to interstate or intrastate (whichever applies), not distributed between the various interstate and intrastate locations in which they may have had spending on their trip. ",,,,,,,,,,
,,,,,,,,,,
np. Data is not publishable as the error is too high for most practical purposes.,,,,,,,,,,
,,,,,,,,,,
Source: Tourism Research Australia: Domestic Tourism Statistics,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Back to Content,,,,,,,,,,
