,,,,,,,,,,
"Table 11b. Total domestic trips, visitor nights and regional expenditure by reason of visita,d,e,",,,,,,,,,,
"by quarter, from March Quarter 2025",,,,,,,,,,
,March Quarter 2025,June Quarter 2025,September Quarter 2025,December quarter 2025,,,,,,
Total domestic trips('000),,,,,,,,,,
Holiday,44268.428,46812.966,48862.281,50298.675,,,,,,
Visiting friends and relatives,30824.994,31454.211,32428.24,33068.767,,,,,,
Business,9560.596,8661.433,7966.009,7329.842,,,,,,
Other,9742.399,10058.57,10447.781,10117.951,,,,,,
Totalbc,94143.834,96657.323,99274.99,100279.653,,,,,,
Visitor nights('000),,,,,,,,,,
Holiday,46861.554,40017.19,41044.744,45362.611,,,,,,
Visiting friends and relatives,37502.53,33422.519,32828.476,35925.548,,,,,,
Business,13960.466,10079.269,8046.623,7034.876,,,,,,
Other,5589.341,6157.121,6931.72,7653.033,,,,,,
Totalc,105126.024,90498.16,89380.101,96177.487,,,,,,
Regional expenditure($M)e,,,,,,,,,,
Holiday,21104.583,20076.54,21315.765,22494.559,,,,,,
Visiting friends and relatives,9648.809,9378.988,9981.429,10877.539,,,,,,
Business,5615.16,4447.711,3966.351,3906.908,,,,,,
Other,2509.735,2471.141,2651.484,2714.118,,,,,,
Totalc,38878.287,36374.381,37915.03,39993.124,,,,,,
,,,,,,,,,,
a. All figures relate to Australian residents aged 14 years and over.,,,,,,,,,,
b. Totals may not add due to rounding or may report several reasons for visiting various locations on a trip.,,,,,,,,,,
c. Total includes visitor nights for which reason of visit has not been reported. ,,,,,,,,,,
d. For a list of reasons for visit included in each group refer to Section 1 of the reference tab,,,,,,,,,,
e. Overnight trips and nights uses Visit reason. Expenditure uses Main reason for trip.,,,,,,,,,,
,,,,,,,,,,
np. Data is not publishable as the error is too high for most practical purposes.,,,,,,,,,,
,,,,,,,,,,
Source: Tourism Research Australia: Domestic Tourism Statistics,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Back to Content,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
