,,,,,,,,,,,
"Table 13. Outbound trips, oversea nights and total trip expenditure by main reason for oversea tripsa,",,,,,,,,,,,
"by quarter, from March Quarter 2025",,,,,,,,,,,
,March Quarter 2025,June Quarter 2025,September Quarter 2025,,,,,,,,
Oversea trips('000),,,,,,,,,,,
Holiday,1512.692,1571.393,1710.088,,,,,,,,
Visiting friends and relatives,1062.289,735.963,782.969,,,,,,,,
Business,177.32,237.915,279.624,,,,,,,,
Other,74.892,np,82.388,,,,,,,,
Totalb,2827.192,2623.085,2855.07,,,,,,,,
Oversea nights('000),,,,,,,,,,,
Holiday,23840.528,24427.579,31396.145,,,,,,,,
Visiting friends and relatives,28053.358,16077.709,19664.291,,,,,,,,
Business,2178.06,4389.429,4309.232,,,,,,,,
Other,2282.69,np,2805.205,,,,,,,,
Totalb,56354.636,46703.087,58174.873,,,,,,,,
Total trip expenditure($M),,,,,,,,,,,
Holiday,12139.249,13148.045,16373.54,,,,,,,,
Visiting friends and relatives,6407.43,3979.917,5615.023,,,,,,,,
Business,1128.552,1629.07,2253.896,,,,,,,,
Other,474.411,np,531.163,,,,,,,,
Totalb,20149.642,19641.569,24773.622,,,,,,,,
,,,,,,,,,,,
a. All figures relate to Australian residents aged 14 years and over.,,,,,,,,,,,
b. Totals may not add due to rounding.,,,,,,,,,,,
,,,,,,,,,,,
np. Data is not publishable as the error is too high for most practical purposes.,,,,,,,,,,,
,,,,,,,,,,,
Source: Tourism Research Australia: Domestic Tourism Statistics,,,,,,,,,,,
,,,,,,,,,,,
"Note: Production of Australian resident tourism statistics by Tourism Research Australia (TRA) had changed from January 2025. Methodology changes have resulted in a series break for Outbound trips data. Changes include change in collection mode to face-to-face interviewing (previously mobile phone), population estimates now including residents aged 14+ (previously 15+), and increasing the survey recall period to 4 months (previously 3 months). Comparisons with data prior to January 2025 should proceed with caution.

For more details please visit https://www.tra.gov.au/en/domestic/changes-to-the-australian-resident-tourism-statistics-collection-in-2025.",,,,,,,,,,,
,,,,,,,,,,,
Back to Content,,,,,,,,,,,
