,,,,,,,
"Table 14. Outbound trips, oversea nights and total trip expenditure by main destination for oversea tripsa,",,,,,,,
"by quarter, from March Quarter 2025",,,,,,,
,March Quarter 2025,June Quarter 2025,September Quarter 2025,,,,
Oversea trips('000),,,,,,,
New Zealand,381.307,268.976,311.533,,,,
Fiji,62.848,np,93.27,,,,
Other Pacific,np,58.045,np,,,,
United Kingdom,105.224,139.235,202.331,,,,
Italy,np,np,119.569,,,,
France,np,np,np,,,,
Germany,np,np,np,,,,
Other North West Europe,np,52.192,86.954,,,,
Other Europe,np,np,212.566,,,,
USA,159.67,167.267,163.081,,,,
Canada,np,np,np,,,,
Other America,np,np,np,,,,
Chinab,165.805,161.389,np,,,,
Hong Kong,np,np,np,,,,
India,201.026,89.559,np,,,,
Japan,271.279,218.259,122.219,,,,
Indonesia,340.1,381.258,431.2,,,,
Thailand,161.64,140.873,136.132,,,,
Singapore,84.993,np,np,,,,
Malaysia,np,np,np,,,,
Viet Nam,131.668,112.142,104.715,,,,
Philippines,87.569,np,np,,,,
Other South East Asia,np,np,np,,,,
Other Asia,137.867,122.933,93.327,,,,
North Africa and Middle East,np,np,np,,,,
South Africa,np,np,np,,,,
Other Africa,np,np,np,,,,
Total,2827.192,2623.085,2855.07,,,,
Oversea nights('000),,,,,,,
New Zealand,4384,3482.034,3192.778,,,,
Fiji,709.181,np,824.682,,,,
Other Pacific,np,520.549,np,,,,
United Kingdom,3218.033,3916.971,7152.573,,,,
Italy,np,np,3638.079,,,,
France,np,np,np,,,,
Germany,np,np,np,,,,
Other North West Europe,np,1266.302,2550.262,,,,
Other Europe,np,np,7337.878,,,,
USA,3529.167,5104.823,3592.811,,,,
Canada,np,np,np,,,,
Other America,np,np,np,,,,
Chinab,4708.128,3279.797,np,,,,
Hong Kong,np,np,np,,,,
India,6485.89,2052.21,np,,,,
Japan,4834.399,3562.653,1668.282,,,,
Indonesia,3428.9,3156.04,4615.822,,,,
Thailand,2527.567,2179.68,2763.711,,,,
Singapore,870.628,np,np,,,,
Malaysia,np,np,np,,,,
Viet Nam,2482.873,2119.054,1612.962,,,,
Philippines,2267.921,np,np,,,,
Other South East Asia,np,np,np,,,,
Other Asia,3595.253,2316.39,3104.209,,,,
North Africa and Middle East,np,np,np,,,,
South Africa,np,np,np,,,,
Other Africa,np,np,np,,,,
Total,56354.636,46703.087,58174.873,,,,
Total trip expenditure($M),,,,,,,
New Zealand,1739.369,1097.224,1251.825,,,,
Fiji,255.356,np,569.08,,,,
Other Pacific,np,452.752,np,,,,
United Kingdom,1335.596,2075.918,3387.663,,,,
Italy,np,np,2346.766,,,,
France,np,np,np,,,,
Germany,np,np,np,,,,
Other North West Europe,np,748.751,1108.656,,,,
Other Europe,np,np,3383.939,,,,
USA,2319.38,1610.544,1929.043,,,,
Canada,np,np,np,,,,
Other America,np,np,np,,,,
Chinab,972.539,809.181,np,,,,
Hong Kong,np,np,np,,,,
India,1107.857,602.589,np,,,,
Japan,2673.483,1853.002,853.915,,,,
Indonesia,1299.256,1398.751,2015.441,,,,
Thailand,849.634,1122.383,728.964,,,,
Singapore,472.846,np,np,,,,
Malaysia,np,np,np,,,,
Viet Nam,639.208,926.1,772.206,,,,
Philippines,537.475,np,np,,,,
Other South East Asia,np,np,np,,,,
Other Asia,1124.183,538.636,539.377,,,,
North Africa and Middle East,np,np,np,,,,
South Africa,np,np,np,,,,
Other Africa,np,np,np,,,,
Total,20149.642,19641.569,24773.622,,,,
,,,,,,,
a. All figures relate to Australian residents aged 14 years and over.,,,,,,,
b. includes mainland China,,,,,,,
,,,,,,,
np. Data is not publishable as the error is too high for most practical purposes.,,,,,,,
,,,,,,,
,,,,,,,
Source: Tourism Research Australia: Domestic Tourism Statistics,,,,,,,
,,,,,,,
"Note: Production of Australian resident tourism statistics by Tourism Research Australia (TRA) had changed from January 2025. Methodology changes have resulted in a series break for Outbound trips data. Changes include change in collection mode to face-to-face interviewing (previously mobile phone), population estimates now including residents aged 14+ (previously 15+), and increasing the survey recall period to 4 months (previously 3 months). Comparisons with data prior to January 2025 should proceed with caution.

For more details please visit https://www.tra.gov.au/en/domestic/changes-to-the-australian-resident-tourism-statistics-collection-in-2025.",,,,,,,
,,,,,,,
Back to Content,,,,,,,
