,,,,,,,,
"Table 1a. Overnight trips, visitor nights and regional expenditure by state/territory visiteda,",,,,,,,,
current quarter compared to same quarter in previous year,,,,,,,,
,December Quarter 2024d,December Quarter 2025,Proportion(%),Change(%),,,,
Overnight trips('000),,,,,,,,
New South Wales,10592.612,10569.738,35.784,-0.216,,,,
Victoria,8077.218,8043.486,27.231,-0.418,,,,
Queensland,6760.98,6772.215,22.927,0.166,,,,
South Australia,2067.663,2049.879,6.94,-0.86,,,,
Western Australia,2508.698,2563.032,8.677,2.166,,,,
Tasmania,796.62,757.187,2.563,-4.95,,,,
Northern Territory,221.018,214.038,0.725,-3.158,,,,
Australian Capital Territory,573.073,585.714,1.983,2.206,,,,
Australiabc,29578.645,29537.54,100,-0.139,,,,
Visitor nights('000),,,,,,,,
New South Wales,30301.067,31126.402,32.364,2.724,,,,
Victoria,21369.429,21450.006,22.303,0.377,,,,
Queensland,23176.283,23303.229,24.229,0.548,,,,
South Australia,6406.171,6426.621,6.682,0.319,,,,
Western Australia,8603.04,8805.121,9.155,2.349,,,,
Tasmania,2621.371,2613.117,2.717,-0.315,,,,
Northern Territory,885.299,841.555,0.875,-4.941,,,,
Australian Capital Territory,1571.363,1611.436,1.675,2.55,,,,
Australiac,94934.023,96177.487,100,1.31,,,,
Regional expenditure($M),,,,,,,,
New South Wales,8737.664,8263.313,30.297,-5.429,,,,
Victoria,5897.911,5707.574,20.927,-3.227,,,,
Queensland,6917.013,6957.188,25.508,0.581,,,,
South Australia,1638.819,1733.669,6.356,5.788,,,,
Western Australia,3143.656,2867.25,10.513,-8.793,,,,
Tasmania,855.117,809.602,2.968,-5.323,,,,
Northern Territory,286.718,386.857,1.418,34.926,,,,
Australian Capital Territory,528.61,548.783,2.012,3.816,,,,
Australiac,28005.508,27274.237,100,-2.611,,,,
,,,,,,,,
a. All figures relate to Australian residents aged 14 years and over.,,,,,,,,
b. Components may not add to total as visitors may visit more than one state/territory on a trip.,,,,,,,,
c. Total includes unspecified and offshore visitors that could not be allocated to a state or territory.,,,,,,,,
d. June Quarter 2024 figures were backcast and adjusted using the new Domestic Tourism Statistics methodology which came into effect January 2025.,,,,,,,,
,,,,,,,,
np. Data is not publishable as the error is too high for most practical purposes.,,,,,,,,
,,,,,,,,
Source: Tourism Research Australia: Domestic Tourism Statistics,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Back to Content,,,,,,,,
