,,,,,,,,,,
"Table 1b. Overnight trips, visitor nights and regional expenditure by state/territory visiteda,",,,,,,,,,,
"by quarter, from March Quarter 2025",,,,,,,,,,
,March Quarter 2025,June Quarter 2025,September Quarter 2025,December Quarter 2025,,,,,,
Overnight trips('000),,,,,,,,,,
New South Wales,9999.544,9483.469,9156.015,10569.738,,,,,,
Victoria,8650.636,7497.05,7191.996,8043.486,,,,,,
Queensland,5949.884,6474.587,6738.266,6772.215,,,,,,
South Australia,2099.94,1911.341,1750.964,2049.879,,,,,,
Western Australia,2503.484,2464.542,2420.925,2563.032,,,,,,
Tasmania,869.821,698.91,643.022,757.187,,,,,,
Northern Territory,177.582,275.587,327.549,214.038,,,,,,
Australian Capital Territory,546.343,531.266,588.204,585.714,,,,,,
Australiabc,28797.165,27641.983,27013.474,29537.54,,,,,,
Visitor nights('000),,,,,,,,,,
New South Wales,33044.856,27613.92,26456.679,31126.402,,,,,,
Victoria,26342.117,20486.979,18961.228,21450.006,,,,,,
Queensland,22568.689,21782.211,24305.39,23303.229,,,,,,
South Australia,7486.349,6216.249,5428.122,6426.621,,,,,,
Western Australia,9453.948,8586.518,8562.143,8805.121,,,,,,
Tasmania,3435.463,2502.018,2127.16,2613.117,,,,,,
Northern Territory,709.151,1097.506,1580.932,841.555,,,,,,
Australian Capital Territory,1652.197,1493.256,1529.473,1611.436,,,,,,
Australiac,105126.024,90498.16,89380.101,96177.487,,,,,,
Regional expenditure($M),,,,,,,,,,
New South Wales,8493.027,7132.534,7061.079,8263.313,,,,,,
Victoria,6759.186,5393.804,5108.594,5707.574,,,,,,
Queensland,6984.737,6556.309,7184.747,6957.188,,,,,,
South Australia,1787.561,1531.741,1439.98,1733.669,,,,,,
Western Australia,2835.31,2706.545,2789.384,2867.25,,,,,,
Tasmania,963.581,712.786,608.996,809.602,,,,,,
Northern Territory,246.905,462.463,628.984,386.857,,,,,,
Australian Capital Territory,552.202,500.417,507.129,548.783,,,,,,
Australiac,28865.928,25193.517,25414.479,27274.237,,,,,,
,,,,,,,,,,
a. All figures relate to Australian residents aged 14 years and over.,,,,,,,,,,
b. Components may not add to total as visitors may visit more than one state/territory on a trip.,,,,,,,,,,
c. Total includes unspecified and offshore visitors that could not be allocated to a state or territory.,,,,,,,,,,
,,,,,,,,,,
np. Data is not publishable as the error is too high for most practical purposes.,,,,,,,,,,
,,,,,,,,,,
Source: Tourism Research Australia: Domestic Tourism Statistics,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Back to Content,,,,,,,,,,
