,,,,,,,,,,
"Table 2b. Overnight trips, visitor nights and regional expenditure by inter/intrastatea,",,,,,,,,,,
"by quarter, from March Quarter 2025",,,,,,,,,,
,March Quarter 2025,June Quarter 2025,September Quarter 2025,December Quarter 2025,,,,,,
Overnight trips('000)c,,,,,,,,,,
Interstate,7414.599,7108.772,7220.868,7671.642,,,,,,
Intrastate,21382.566,20533.211,19792.605,21865.898,,,,,,
Totalb,28797.165,27641.983,27013.474,29537.54,,,,,,
Visitor nights('000),,,,,,,,,,
Interstate,35157.803,29734.684,30977.466,31933.325,,,,,,
Intrastate,69968.221,60763.475,58402.635,64244.163,,,,,,
Totalb,105126.024,90498.16,89380.101,96177.487,,,,,,
Regional expenditure($M)d,,,,,,,,,,
Interstate,14239.632,12108.5,12513.268,13053.954,,,,,,
Intrastate,14626.296,13085.017,12901.211,14220.283,,,,,,
Totalb,28865.928,25193.517,25414.479,27274.237,,,,,,
,,,,,,,,,,
a. All figures relate to Australian residents aged 14 years and over.,,,,,,,,,,
b. Totals may not add due to rounding,,,,,,,,,,
c. At the national level a trip is allocated as interstate if the trip included visits to both interstate and intrastate locations,,,,,,,,,,
"d. At the national level trip expenditure is allocated to interstate or intrastate (whichever applies), not distributed between the various interstate and intrastate locations in which they may have had spending on their trip. ",,,,,,,,,,
,,,,,,,,,,
np. Data is not publishable as the survey error is too high for most practical purposes.,,,,,,,,,,
,,,,,,,,,,
Source: Tourism Research Australia: Domestic Tourism Statistics,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Back to Content,,,,,,,,,,
