,,,,,,,,,,
"Table 3b. Overnight trips, visitor nights and regional expenditure by reason of visita,d,e,",,,,,,,,,,
"by quarter, from March Quarter 2025",,,,,,,,,,
,March Quarter 2025,June Quarter 2025,September Quarter 2025,December quarter 2025,,,,,,
Overnight trips('000),,,,,,,,,,
Holiday,12394.849,12105.351,12147.537,13733.999,,,,,,
Visiting friends and relatives,10851.665,10572.929,10444.204,11540.645,,,,,,
Business,4064.454,3251.184,2614.676,2314.356,,,,,,
Other,1738.78,2042.375,2236.375,2484.12,,,,,,
Totalb,28797.165,27641.983,27013.474,29537.54,,,,,,
Visitor nights('000),,,,,,,,,,
Holiday,46861.554,40017.19,41044.744,45362.611,,,,,,
Visiting friends and relatives,37502.53,33422.519,32828.476,35925.548,,,,,,
Business,13960.466,10079.269,8046.623,7034.876,,,,,,
Other,5589.341,6157.121,6931.72,7653.033,,,,,,
Totalc,105126.024,90498.16,89380.101,96177.487,,,,,,
Regional expenditure($M)e,,,,,,,,,,
Holiday,15438.696,13624.775,14131.225,15174.782,,,,,,
Visiting friends and relatives,7136.266,6575.149,6843.941,7669.994,,,,,,
Business,4993.08,3690.747,3052.596,2928.702,,,,,,
Other,1297.886,1302.847,1386.718,1500.759,,,,,,
Totalb,28865.928,25193.517,25414.479,27274.237,,,,,,
,,,,,,,,,,
a. All figures relate to Australian residents aged 14 years and over.,,,,,,,,,,
b. Totals may not add due to rounding or may report several reasons for visiting various locations on a trip.,,,,,,,,,,
c. Total includes visitor nights for which reason of visit has not been reported. ,,,,,,,,,,
d. For a list of reasons for visit included in each group refer to Section 1 of the reference tab,,,,,,,,,,
e. Overnight trips and nights uses Visit reason. Expenditure uses Main reason for trip.,,,,,,,,,,
,,,,,,,,,,
np. Data is not publishable as the error is too high for most practical purposes.,,,,,,,,,,
,,,,,,,,,,
Source: Tourism Research Australia: Domestic Tourism Statistics,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Back to Content,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
