,,,,,,,,,,,,,,
International visitors nights by type of accommodation used(a)(b)(c),,,,,,,,,,,,,,
Year ending December,,,,,,,,,,,,,,
,"Year ending December 2024
 ('000)","Year ending December 2025
('000)",Proportion of nights (Year ending December 2025),% change between year ending,,,,,,,,,,
Hotel/resort/motel or motor Inn,44378.016066653036,47644.50932238712,15.237632557220874,7.360611278404194,,,,,,,,,,
Guest house or Bed & Breakfast,720.2750539883133,1648.6855225298143,0.527281412947928,128.8966573811905,,,,,,,,,,
Rented house/apartment/flat or unit,113664.26283988536,114430.97814851633,36.59723277643571,0.6745438623140698,,,,,,,,,,
Caravan park or commercial camping ground,2433.7084558089005,3388.852361401657,1.0838203144101877,39.24643904297454,,,,,,,,,,
Backpacker or hostel,10470.041184270227,9295.896490551477,2.9730069010580698,-11.21432736561474,,,,,,,,,,
Other commercial accommodation,7164.142810185091,7960.515045595474,2.545926171896081,11.116085434229483,,,,,,,,,,
Own property,2620.0341078655633,5122.281067295278,1.638204231050396,95.50436583698504,,,,,,,,,,
Friends or relatives property,93273.52924630792,98810.20035587638,31.60140690588989,5.935951126013195,,,,,,,,,,
Caravan or camping - non commercial,1172.891045431729,1501.5425428167393,0.48022225145943037,28.020633175184418,,,,,,,,,,
Other Private Accommodation,10557.05865947701,11225.662188461378,3.5901831726680946,6.33323684702809,,,,,,,,,,
Other Accomodation(b),8541.212975338703,11647.463317120688,3.7250833049633303,36.367789338010326,,,,,,,,,,
Total,294995.1724452118,312676.58636255236,100,5.993797719054017,,,,,,,,,,
,,,,,,,,,,,,,,
(a) Estimates are for international visitors aged 15 years and over,,,,,,,,,,,,,,
"(b) Other Accommodation includes other types of accommodation, in transit and not stated/unknown",,,,,,,,,,,,,,
"(c) For a list of accommodations included in each group, refer to Section 1 of the Reference tab",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Source: Tourism Research Australia: International Visitors Survey,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Back to content page,,,,,,,,,,,,,,
