,,,,,,,,,
International travel estimates by state/territory by capital/regional(a),,,,,,,,,
Year ending December,,,,,,,,,
,Year ending December 2024,,,Year ending December 2025,,,,,
,Trips ('000),Nights ('000),Regional expenditure ($M),Trips ('000),Nights ('000),Regional expenditure ($M),,,
New South Wales,,,,,,,,,
Sydney,3529.3999379943584,83589.26388980092,10903.602858146527,3819.858032779115,88192.22623819794,13733.866390371242,,,
Regional NSW,709.8708664271851,17239.54814658482,1121.8834901696034,727.2388387158893,17741.645431349007,1305.644691819854,,,
,,,,,,,,,
Victoria,,,,,,,,,
Melbourne,2551.9910039140855,70544.97313130286,8401.085694677979,2652.5931018526585,67877.16188891808,8836.641714017953,,,
Regional VIC,451.9858870138016,9720.553352762683,645.0029987750555,422.49596686710066,10945.09410883872,839.6134775843099,,,
,,,,,,,,,
Queensland,,,,,,,,,
Brisbane and the Gold Coast,1661.5063350496582,36094.779217472904,4277.088682612537,1784.5653796477632,37586.19491570454,5043.176204733207,,,
Regional QLD,933.9308502976011,17159.367562476866,1942.592798799592,1003.6343105517271,18024.861643645447,2441.389006815557,,,
,,,,,,,,,
South Australia,,,,,,,,,
Adelaide,401.7962445843213,10974.130566461676,1134.1462426126182,404.1108589765566,12402.823601774355,1550.5330737713075,,,
Regional SA,132.41928000819723,2617.782328243941,213.7172038462173,123.09142193880129,2317.7969814080075,210.3983005808401,,,
,,,,,,,,,
Western Australia,,,,,,,,,
Perth,812.8570021263013,25748.18275503179,2268.3533731455414,1006.8392100661276,35638.108085129425,2981.155350633875,,,
Regional WA,226.26455708601543,5555.7105180876515,357.0059585467361,256.29570610981324,6343.659248912655,423.7740417942489,,,
,,,,,,,,,
Tasmania,,,,,,,,,
Hobart,211.18638210623573,2466.3372225548037,356.8492422941668,235.36055656763637,2542.9019093767865,507.78912839386453,,,
Regional TAS,127.79066928364742,2493.083929869939,194.42016961258415,138.0629144355053,2502.6836271861407,203.7715792870584,,,
,,,,,,,,,
Northern Territory,,,,,,,,,
Darwin,125.75936459577758,3461.4565817468124,235.0986197699028,143.44732033000489,3059.8795768256855,243.79604993355747,,,
Regional NT,133.6481488630973,1146.0947508101738,233.13643229472913,150.19590240222294,1360.1600089670474,282.82181451036894,,,
,,,,,,,,,
Australian Capital Territory,,,,,,,,,
Canberra,214.66331194644553,5431.068756665371,626.5275335025772,198.54354527311813,5613.725594950684,586.7993994091795,,,
,,,,,,,,,
(a) Estimates are for international visitors aged 15 years and over,,,,,,,,,
,,,,,,,,,
Source: Tourism Research Australia: International Visitors Survey,,,,,,,,,
,,,,,,,,,
Back to content page,,,,,,,,,
