,,,,,,,,,,
"Table 5b. Day trips and regional expenditure by state/territory visiteda,",,,,,,,,,,
"by quarter, from March Quarter 2025",,,,,,,,,,
,March Quarter 2025,June Quarter 2025,September Quarter 2025,December quarter 2025,,,,,,
Day trips('000),,,,,,,,,,
New South Wales,19804.144,20805.778,21874.287,21549.873,,,,,,
Victoria,20530.416,20789.643,21648.022,21569.945,,,,,,
Queensland,12327.273,14175.952,14917.236,13945.326,,,,,,
South Australia,3908.534,4023.676,4251.572,4201.252,,,,,,
Western Australia,6857.11,7233.162,7523.586,7473.409,,,,,,
Tasmania,1171.554,1131.04,1147.837,1199.75,,,,,,
Northern Territory,264.182,350.709,328.845,275.821,,,,,,
Australian Capital Territory,483.455,505.379,570.132,526.737,,,,,,
Australiab,65346.669,69015.34,72261.517,70742.113,,,,,,
Regional expenditure($M),,,,,,,,,,
New South Wales,3101.463,3419.782,3894.645,3989.923,,,,,,
Victoria,3133.047,3355.149,3774.407,3810.382,,,,,,
Queensland,1838.848,2338.68,2503.919,2486.926,,,,,,
South Australia,573.386,649.735,762.087,802.686,,,,,,
Western Australia,1057.012,1077.201,1206.139,1264.391,,,,,,
Tasmania,156.955,149.629,161.023,184.834,,,,,,
Northern Territory,48.486,76.955,71.916,63.284,,,,,,
Australian Capital Territory,103.164,113.731,126.415,116.463,,,,,,
Australiab,10012.36,11180.863,12500.55,12718.887,,,,,,
,,,,,,,,,,
a. All figures relate to Australian residents aged 14 years and over.,,,,,,,,,,
b. Components may not add due to rounding; total includes unspecified and offshore visitors that could not be allocated to a state or territory.,,,,,,,,,,
,,,,,,,,,,
np. Data is not publishable as the error is too high for most practical purposes.,,,,,,,,,,
,,,,,,,,,,
Source: Tourism Research Australia: Domestic Tourism Statistics,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Back to Content,,,,,,,,,,
