,,,,,,,,,
International travel estimates by top 20 regions(a),,,,,,,,,
Ranked by nights in region for Year ending December 2025,,,,,,,,,
,,Year ending December 2024,,,Year ending December 2025,,,,
Region,,Trips ('000),Nights ('000),Regional expenditure ($M),Trips ('000),Nights ('000),Regional expenditure ($M),,
1,Sydney,3529.3999379943584,83589.26388980092,10903.602858146527,3819.858032779115,88192.22623819794,13733.866390371242,,
2,Melbourne,2551.9910039140855,70544.97313130286,8401.085694677979,2652.5931018526585,67877.16188891808,8836.641714017953,,
3,Destination Perth,812.8570021263013,25748.18275503179,2268.3533731455414,1006.8392100661276,35638.108085129425,2981.155350633875,,
4,Brisbane,1275.0271665131588,28073.489691373386,3104.7621362006894,1328.1293750976988,27301.023608892083,3563.4449141887844,,
5,Adelaide,401.7962445843213,10974.130566461676,1134.1462426126182,404.1108589765566,12402.823601774355,1550.5330737713075,,
6,Gold Coast,634.6837149755378,8021.289526099577,1172.3265464118645,682.1891876738273,10285.171306812535,1479.7312905443691,,
7,Tropical North Queensland,543.2944020847093,5156.625742986541,980.1196624976237,621.9748358075913,5896.140589067097,1217.6675597855694,,
8,Canberra,214.66331194644553,5431.068756665371,626.5275335025772,198.54354527311813,5613.725594950684,586.7993994091795,,
9,North Coast NSW,292.32625496971394,3888.24937793272,265.93624756371236,291.2939914268283,4606.869408528172,326.59079616592015,,
10,Sunshine Coast,314.3528622617241,3942.2679196031386,317.769714763776,301.47854208827147,3663.8460012440337,475.45262441884,,
11,Hunter,158.30672228056682,2945.9685050335434,216.62150744010142,155.57021380245283,3130.1681207735664,220.88915628171213,,
12,Darwin,125.75936459577758,3461.4565817468124,235.0986197699028,143.44732033000489,3059.8795768256855,243.79604993355747,,
13,Queensland Country,50.657601421718894,2183.988342628367,107.53680980558869,41.707230109645245,2652.357314070314,167.40836898449007,,
14,Australia's South West,138.54110642921736,2170.7937132361067,158.70593200402828,149.91979987636932,2650.88717592046,192.5773265887624,,
15,Hobart and the South,211.18638210623573,2466.3372225548037,356.8492422941668,235.36055656763637,2542.9019093767865,507.78912839386453,,
16,South Coast,147.83455643844687,3106.0344096909253,273.51678001024266,143.99090960099397,2246.804939994401,229.1094739664524,,
17,Geelong and the Bellarine,73.51798131928858,1292.2817846031478,110.71274841375556,65.53489765673878,1928.3637719667202,218.4940492777788,,
18,Central NSW,40.86283412149919,1462.361754942546,80.41879701123347,37.34067232820927,1838.6748293835462,142.30293876566267,,
19,Mallee,25.554448670039438,1647.987335374641,79.76723752889276,26.15687548873954,1426.9221471566252,65.67433377140868,,
20,Townsville,107.94382708478778,1139.7519889813966,81.21354766605228,84.02052912134143,1393.668190198253,105.57086579369157,,
,Other regions,2242.7479342483343,27748.669449161545,2035.4400673395337,2027.9870171802154,28328.86206337159,2345.8511775409725,,
,Total(b),7633.9558548505765,294995.1724452119,32910.51129880684,8272.330584988007,312676.586362552,39191.34598260499,,
,,,,,,,,,
(a) Estimates are for International visitors aged 15years and over,,,,,,,,,
(b) Total is Spend in Australia,,,,,,,,,
,,,,,,,,,
Source: Tourism Research Australia: International Visitors Survey,,,,,,,,,
,,,,,,,,,
Back to content page,,,,,,,,,
