,,,,,,,,,,
"Table 6b. Day trips and regional expenditure by inter/intrastatea,",,,,,,,,,,
"by quarter, from March Quarter 2025",,,,,,,,,,
,March Quarter 2025,June Quarter 2025,September Quarter 2025,December quarter 2025,,,,,,
Day trips('000),,,,,,,,,,
Interstate,2939.707,3494.996,3919.887,3936.994,,,,,,
Intrastate,62406.961,65520.344,68341.63,66805.12,,,,,,
Totalb,65346.669,69015.34,72261.517,70742.113,,,,,,
Regional expenditure($M),,,,,,,,,,
Interstate,663.898,897.017,1062.322,1084.937,,,,,,
Intrastate,9348.462,10283.847,11438.228,11633.95,,,,,,
Totalb,10012.36,11180.863,12500.55,12718.887,,,,,,
,,,,,,,,,,
a. All figures relate to Australian residents aged 14 years and over.,,,,,,,,,,
b. Totals may not add due to rounding,,,,,,,,,,
,,,,,,,,,,
np. Data is not publishable as the error is too high for most practical purposes.,,,,,,,,,,
,,,,,,,,,,
Source: Tourism Research Australia: Domestic Tourism Statistics,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Back to Content,,,,,,,,,,
