,,,,,,,,,
Total trip expenditure by item of expenditure for International visitors by main reason for travel(a)(b),,,,,,,,,
Year ending December 2025,,,,,,,,,
Expenditure ($M),Holiday,Visiting friends and relatives,Business,Education,Other purpose(c),Total,,,
Airfares,5560.260567906814,4697.796317008936,1474.7588873189945,929.7848634407276,1086.5754227762218,13749.176058451694,,,
Tours,3178.3519777266856,319.22319313661404,256.8034081460148,163.21759080576035,87.50270719912159,4005.0988770141958,,,
Transportation,1239.16899070459,502.91798120859283,176.3881276683002,428.3087817994004,369.86851929216135,2716.652400673045,,,
"Food, drink & accommodation",7052.546872060589,2775.528261117441,1230.2951263683585,4983.3393051186995,2958.489303949504,19000.198868614592,,,
Shopping,1742.6548209158234,1257.2705266317134,216.32695994671587,752.3847725636065,455.4509575142146,4424.088037572073,,,
Entertainment,480.1912424946299,221.08258278662996,22.856767156903814,158.6128380076075,121.78842833806635,1004.5318587838375,,,
Education,262.38133820490276,236.4217857559468,np,7782.932042385827,178.55986976279542,8510.93550216267,,,
Other Expenditure,623.9757502672484,305.6285139307508,149.04809392956992,517.3258083087301,666.6161783420472,2262.5943447783466,,,
Total,20139.531560280877,10315.86916157649,3577.1178365879987,15715.906002430082,5924.85138717408,55673.27594804953,,,
,,,,,,,,,
(a)Estimates are for international visitors aged 15 years and over,,,,,,,,,
"(b)For a list of reasons included in each group, refer to Section 2 of the Reference tab",,,,,,,,,
"(c)Employment is included in ""Other Purpose""",,,,,,,,,
,,,,,,,,,
Source: Tourism Research Australia: International Visitors Survey,,,,,,,,,
,,,,,,,,,
Back to content page,,,,,,,,,
