,,,,,,,,,,
"Table 7b. Day trips and regional expenditure by reason of visita,c,",,,,,,,,,,
"by quarter, from March Quarter 2025",,,,,,,,,,
,March Quarter 2025,June Quarter 2025,September Quarter 2025,December quarter 2025,,,,,,
Day trips('000),,,,,,,,,,
Holiday,31873.58,34707.615,36714.744,36564.675,,,,,,
Visiting friends and relatives,19973.329,20881.281,21984.035,21528.122,,,,,,
Business,5496.142,5410.249,5351.332,5015.485,,,,,,
Other,8003.618,8016.195,8211.406,7633.831,,,,,,
Totalb,65346.669,69015.34,72261.517,70742.113,,,,,,
Regional expenditure($M),,,,,,,,,,
Holiday,5665.887,6451.765,7184.54,7319.777,,,,,,
Visiting friends and relatives,2512.543,2803.84,3137.489,3207.545,,,,,,
Business,622.08,756.964,913.755,978.206,,,,,,
Other,1211.85,1168.294,1264.766,1213.36,,,,,,
Totalb,10012.36,11180.863,12500.55,12718.887,,,,,,
,,,,,,,,,,
a. All figures relate to Australian residents aged 14 years and over.,,,,,,,,,,
b. Totals may not add due to rounding. ,,,,,,,,,,
c. For a list of reasons for visit included in each group refer to Section 1 of the reference tab,,,,,,,,,,
,,,,,,,,,,
np. Data is not publishable as the error is too high for most practical purposes.,,,,,,,,,,
,,,,,,,,,,
Source: Tourism Research Australia: Domestic Tourism Statistics,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Back to Content,,,,,,,,,,
