,,,,,,,,,
Total trip expenditure by item of expenditure for International visitors by top 5 countries of residence(a),,,,,,,,,
Ranked by total trip expenditure for Year ending December 2025,,,,,,,,,
Expenditure ($M),China,United Kingdom,United States of America,New Zealand,India,Other,Total ,,
Airfares,1356.9262178112333,1992.291933602505,1858.6577978299508,1098.810379403027,600.5852803002531,6841.904449504745,13749.176058451714,,
Tours,439.57907660603865,628.9133430323315,784.7603284041304,204.01733627502801,103.04281801468977,1844.7859746819852,4005.098877014203,,
Transportation,393.3808048005911,308.88231089410175,201.1525751215494,240.5350042468472,116.04440361761795,1456.6573019923408,2716.652400673048,,
"Food, drink & accommodation",4267.731289784661,1696.6190307227164,1212.6921048275983,1399.1327821959449,820.8553535477696,9603.168307535887,19000.198868614578,,
Shopping,1139.7437220503598,256.6936397540233,216.96316474770475,386.3383470668768,219.8303097534907,2204.5188541996126,4424.088037572068,,
Entertainment,191.89650167412,107.61226103167724,71.78432269323764,109.67720300772406,39.457454212905134,484.1041161641758,1004.5318587838399,,
Education,4734.1630972213725,np,174.66988584842116,77.00969155581258,508.52619928941334,2985.8441199157833,8510.93550216,,
Other Expenditure,634.4824208783444,242.52191190941988,96.03025946109811,151.55791390028585,136.51953641646838,1001.4823022127299,2262.5943447783466,,
Total,13157.903130826486,5264.25693927855,4616.710438933619,3667.0786576514965,2544.8613551525796,26422.465426206898,55673.27594804963,,
,,,,,,,,,
(a)Estimates are for international visitors aged 15 years and over,,,,,,,,,
,,,,,,,,,
Source: Tourism Research Australia: International Visitors Survey,,,,,,,,,
,,,,,,,,,
Back to content page,,,,,,,,,
