,,,,,,,,,,,,,,,,,,
International travel estimates by country of residence(a),,,,,,,,,,,,,,,,,,
December Quarter,,,,,,,,,,,,,,,,,,
,Trips ('000),,Change,,Nights ('000),,Change,,Spend in Australia ($M),,Change,,Total trip spend ($M),,Change,,,
,December Quarter 2024,December Quarter 2025,'000,%,December Quarter 2024,December Quarter 2025,'000,%,December Quarter 2024,December Quarter 2025,$M,%,December Quarter 2024,December Quarter 2025,$M,%,,
New Zealand,347.3496549401729,374.79811599836273,27.44846105818982,7.902256607370894,4139.192593887081,4687.105330991899,547.912737104818,13.237188767538788,547.8337272592988,735.0021659035789,187.16843864428006,34.165190883855544,873.6098909915947,1093.079399762498,219.4695087709033,25.12214101900718,,
Japan,97.57751398186808,112.08567300232043,14.508159020452354,14.868342539602185,3418.9216393138017,3408.7832366324524,-10.138402681349362,-0.2965380242930693,374.88642568037454,435.5114973954044,60.62507171502983,16.17158359495212,559.2853964627586,656.8161009094152,97.53070444665661,17.438450040622676,,
Hong Kong,50.60788999098887,60.90562899980985,10.297739008820976,20.348090012554508,1129.151041709518,2098.607199906792,969.4561581972741,85.85708398493188,222.11498413014434,315.24740728011705,93.13242314997271,41.929824552225355,304.8243428017958,416.28590146303907,111.46155866124326,36.56583251742407,,
Singapore,100.82251698438782,108.02995599969404,7.207439015306221,7.148640235218773,1586.1800512292334,1524.6187961220091,-61.56125510722427,-3.881101332696524,288.3670189301464,288.05843484228234,-0.30858408786406244,-0.10701088113644897,435.9817157403946,428.0494836182212,-7.932232122173389,-1.8193955929327599,,
Malaysia,43.45041399069909,50.53106099951401,7.080647008814921,16.29592530540811,1085.3520914813187,1283.318008148232,197.96591666691324,18.23978764317151,130.03744341897078,180.59534421050128,50.5579007915305,38.879494599595276,180.20413555678297,244.45460973235078,64.2504741755678,35.65427284842875,,
Indonesia,51.43231199235889,59.64194200124574,8.209630008886847,15.962008494011549,2450.547885982692,2885.3295499828987,434.78166400020655,17.742222728524858,252.31632054900277,255.900085703093,3.58376515409023,1.420346153705987,308.9120642507874,311.62085896338857,2.7087947126011613,0.8768821376953673,,
Taiwan,30.624408993889414,41.66148900080908,11.037080006919663,36.040140428904046,1892.339411893893,2144.0745208669127,251.7351089730198,13.302851876930365,157.17341266984815,202.50353724192345,45.330124572075306,28.840834974611052,221.04497010291402,271.8369863226601,50.792016219746074,22.978137071428662,,
Thailand,21.87696799655957,24.21527500064855,2.3383070040889784,10.688441855638796,1213.8049930465952,1280.08017893291,66.27518588631483,5.4601180804148,105.72139766202805,127.61221245217278,21.89081479014473,20.706134495237816,134.97471652803438,159.0551741542074,24.08045762617303,17.840717317729272,,
Vietnam,37.71837899291942,38.3027489991932,0.5843700062737796,1.5492977743913006,1301.1220529582645,1530.1858786069213,229.0638256486568,17.605099008801783,135.92897819757297,174.91017463383375,38.981196436260774,28.677620440581507,179.329365705018,240.39862933175436,61.06926362673636,34.05424615575245,,
Philippines,42.7168339948892,49.87403400043115,7.157200005541952,16.754987053577675,3078.4733334642933,3456.115208872659,377.64187540836565,12.267180335890536,164.16968755460962,164.15557214702102,-0.014115407588604967,-0.008598059604580932,220.16514657995162,224.18439157919795,4.019244999246325,1.8255591594225296,,
Korea,89.03709198130824,112.78989899695775,23.75280701564951,26.677429020970255,2789.0423934666337,2507.3690423792236,-281.6733510874101,-10.099285394414704,400.2854307883355,402.2046272932793,1.9191965049438409,0.4794569967645712,558.8974017473198,596.0950107340669,37.19760898674713,6.655534427330245,,
China,181.95329497297692,228.22300899542034,46.269714022443424,25.429445522992733,8207.35486599528,9237.795412291793,1030.4405462965133,12.555087030120205,1205.0612870996038,1968.2998537873407,763.2385666877369,63.33607882506409,1546.9757454204678,2382.398107586048,835.4223621655801,54.00358503607387,,
India,118.79570698141735,115.7279119993978,-3.0677949820195494,-2.5824123278288424,7775.849959109797,6315.924082105391,-1459.9258770044062,-18.775129210074716,485.94423955645027,427.4933280298854,-58.45091152656488,-12.028316578032994,773.4859242583897,620.0702216664599,-153.41570259192974,-19.83432377764639,,
Other Asia,59.14664899316892,61.66652899974578,2.5198800065768623,4.260393529425288,4864.451638344638,4113.1237867990385,-751.3278515455995,-15.445273329950805,286.70953740414006,319.3918829048162,32.68234550067615,11.399113470929901,381.4334124021755,408.90155626729387,27.46814386511835,7.201294635446498,,
United States of America,196.72728796606606,211.20688399810575,14.479596032039694,7.360237708628059,3373.325801852686,3321.9116173817647,-51.4141844709211,-1.5241393061613984,591.3177986089659,729.2573933507166,137.93959474175074,23.327489053474125,1318.188072073285,1348.7293754373948,30.541303364109808,2.316915469889924,,
Canada,47.979908994789014,51.73596300018892,3.7560540053999034,7.828389182246753,1189.1418260524379,1411.1644572029495,222.02263115051164,18.670828515682956,151.8825569913178,205.20069374867185,53.31813675735404,35.10484535785232,272.70368026141114,347.43223515425325,74.72855489284211,27.40284062950966,,
United Kingdom,207.97867896559595,263.3871409954347,55.40846202983877,26.64141454567297,6552.059055514054,8549.252577527004,1997.1935220129499,30.48192186748011,684.8829017212955,946.0212898810454,261.13838815974987,38.12891043175974,1340.494509762764,1825.1438913356149,484.64938157285087,36.15452193523885,,
Germany,55.32435599091868,58.55254000059004,3.2281840096713594,5.835014166638031,1402.2234364238825,1492.9492202544795,90.72578383059704,6.4701374598314265,163.0164399657262,235.49320319344858,72.47676322772239,44.45978776309951,322.30111485279264,418.40121644974613,96.1001015969535,29.816869122791,,
Scandinavia,30.135327993199482,33.28783000043928,3.1525020072397965,10.46115047412528,1237.4744300828538,1057.5480051320465,-179.92642495080736,-14.539809516610426,104.0175123216234,138.8301939025051,34.8126815808817,33.46809667322217,172.56324576641657,233.9639491603247,61.40070339390812,35.581564962576536,,
France,36.97617899375926,42.94438099998918,5.968202006229916,16.140667231292927,2454.394593651357,3193.6504469309516,739.2558532795947,30.119682270804617,185.06648385304592,262.9131876670203,77.84670381397436,42.0641826619397,289.9966506069212,395.2177643086355,105.22111370171427,36.28356171752385,,
Italy,np,24.874864999489585,np,np,np,1335.6942694565746,np,np,np,85.45656596440928,np,np,np,150.60027928571157,np,np,,
Netherlands,16.265994998229612,np,np,np,494.75958154608634,np,np,np,56.917316082481,np,np,np,109.04018808821901,np,np,np,,
Switzerland,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,,
Other Europe,86.14861098262848,99.17152800226793,13.02291701963945,15.116804404734353,4564.29527940415,4072.3315611131866,-491.9637182909637,-10.778525230628544,331.0741818239744,447.3054936734186,116.23131184944418,35.107331900390236,592.6522584341898,711.7102724954185,119.05801406122873,20.089017187884274,,
Other Countries,153.82323497172695,166.6732939957664,12.850059024039439,8.353782851076641,8062.590868788594,8066.442363391343,3.8514946027489714,0.04776993729966872,576.7105189063137,624.5931170593703,47.88259815305662,8.30270934607924,874.0516296662734,946.447300667307,72.39567100103363,8.282768264922225,,
Total,2139.7241166391177,2424.741616984202,285.0175003450845,13.320292000669864,76016.62163171468,79924.8841982526,3908.262566537931,5.141326308175964,7765.971404756389,9836.730421088869,2070.7590163324794,26.664520230710753,12226.883989717044,14711.81509266062,2484.9311029435758,20.323502742263955,,
,,,,,,,,,,,,,,,,,,
(a) Estimates are for international visitors aged 15 years and over,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Source: Tourism Research Australia: International Visitors Survey,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Back to content page,,,,,,,,,,,,,,,,,,
