,,,,,,,,,,
"Table 9b. Total domestic trips, visitor nights and regional expenditure by state/territory visiteda,",,,,,,,,,,
"by quarter, from March Quarter 2025",,,,,,,,,,
,March Quarter 2025,June Quarter 2025,September Quarter 2025,December quarter 2025,,,,,,
Total domestic trips('000),,,,,,,,,,
New South Wales,29803.688,30289.247,31030.303,32119.611,,,,,,
Victoria,29181.053,28286.693,28840.018,29613.431,,,,,,
Queensland,18277.157,20650.539,21655.502,20717.541,,,,,,
South Australia,6008.475,5935.017,6002.535,6251.131,,,,,,
Western Australia,9360.594,9697.704,9944.511,10036.442,,,,,,
Tasmania,2041.376,1829.95,1790.859,1956.938,,,,,,
Northern Territory,441.764,626.296,656.394,489.859,,,,,,
Australian Capital Territory,1029.797,1036.645,1158.336,1112.451,,,,,,
Australiabc,94143.834,96657.323,99274.99,100279.653,,,,,,
Visitor nights('000),,,,,,,,,,
New South Wales,33044.856,27613.92,26456.679,31126.402,,,,,,
Victoria,26342.117,20486.979,18961.228,21450.006,,,,,,
Queensland,22568.689,21782.211,24305.39,23303.229,,,,,,
South Australia,7486.349,6216.249,5428.122,6426.621,,,,,,
Western Australia,9453.948,8586.518,8562.143,8805.121,,,,,,
Tasmania,3435.463,2502.018,2127.16,2613.117,,,,,,
Northern Territory,709.151,1097.506,1580.932,841.555,,,,,,
Australian Capital Territory,1652.197,1493.256,1529.473,1611.436,,,,,,
Australiac,105126.024,90498.16,89380.101,96177.487,,,,,,
Regional expenditure($M),,,,,,,,,,
New South Wales,11594.49,10552.316,10955.724,12253.236,,,,,,
Victoria,9892.232,8748.954,8883,9517.955,,,,,,
Queensland,8823.585,8894.989,9688.666,9444.113,,,,,,
South Australia,2360.947,2181.477,2202.066,2536.355,,,,,,
Western Australia,3892.321,3783.747,3995.523,4131.641,,,,,,
Tasmania,1120.536,862.415,770.019,994.436,,,,,,
Northern Territory,295.391,539.418,700.9,450.142,,,,,,
Australian Capital Territory,655.366,614.148,633.545,665.246,,,,,,
Australiac,38878.287,36374.381,37915.03,39993.124,,,,,,
,,,,,,,,,,
a. All figures relate to Australian residents aged 14 years and over.,,,,,,,,,,
b. Components may not add to total as visitors may visit more than one state/territory on a trip.,,,,,,,,,,
c. Total includes unspecified and offshore visitors that could not be allocated to a state or territory.,,,,,,,,,,
,,,,,,,,,,
np. Data is not publishable as the error is too high for most practical purposes.,,,,,,,,,,
,,,,,,,,,,
Source: Tourism Research Australia: Domestic Tourism Statistics,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Back to Content,,,,,,,,,,
